# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-02-15 12:44:38 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15485500 TANANA R AT FAIRBANKS AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15485500
#            TS   parameter     statistic     Description
#          1085       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	1085_00060_00003	1085_00060_00003_cd
USGS	15485500	1973-10-21	8400	A
USGS	15485500	1973-10-22	8400	A
USGS	15485500	1973-10-23	8200	A
USGS	15485500	1973-10-24	8200	A
USGS	15485500	1973-10-25	8200	A
USGS	15485500	1973-10-26	8000	A
USGS	15485500	1973-10-27	8000	A
USGS	15485500	1973-10-28	8000	A
USGS	15485500	1973-10-29	7800	A
USGS	15485500	1973-10-30	7800	A
USGS	15485500	1973-10-31	7600	A
USGS	15485500	1973-11-01	7600	A
USGS	15485500	1973-11-02	7600	A
USGS	15485500	1973-11-03	7600	A
USGS	15485500	1973-11-04	7400	A
USGS	15485500	1973-11-05	7400	A
USGS	15485500	1973-11-06	7400	A
USGS	15485500	1973-11-07	7200	A
USGS	15485500	1973-11-08	7200	A
USGS	15485500	1973-11-09	7200	A
USGS	15485500	1973-11-10	7200	A
USGS	15485500	1973-11-11	7000	A
USGS	15485500	1973-11-12	7000	A
USGS	15485500	1973-11-13	7000	A
USGS	15485500	1973-11-14	6800	A
USGS	15485500	1973-11-15	6800	A
USGS	15485500	1973-11-16	6800	A
USGS	15485500	1973-11-17	6600	A
USGS	15485500	1973-11-18	6600	A
USGS	15485500	1973-11-19	6600	A
USGS	15485500	1973-11-20	6600	A
USGS	15485500	1973-11-21	6400	A
USGS	15485500	1973-11-22	6400	A
USGS	15485500	1973-11-23	6400	A
USGS	15485500	1973-11-24	6200	A
USGS	15485500	1973-11-25	6200	A
USGS	15485500	1973-11-26	6200	A
USGS	15485500	1973-11-27	6200	A
USGS	15485500	1973-11-28	6000	A
USGS	15485500	1973-11-29	6000	A
USGS	15485500	1973-11-30	6000	A
USGS	15485500	1973-12-01	6000	A
USGS	15485500	1973-12-02	5800	A
USGS	15485500	1973-12-03	5800	A
USGS	15485500	1973-12-04	5800	A
USGS	15485500	1973-12-05	5800	A
USGS	15485500	1973-12-06	5600	A
USGS	15485500	1973-12-07	5600	A
USGS	15485500	1973-12-08	5600	A
USGS	15485500	1973-12-09	5600	A
USGS	15485500	1973-12-10	5400	A
USGS	15485500	1973-12-11	5400	A
USGS	15485500	1973-12-12	5400	A
USGS	15485500	1973-12-13	5400	A
USGS	15485500	1973-12-14	5400	A
USGS	15485500	1973-12-15	5200	A
USGS	15485500	1973-12-16	5200	A
USGS	15485500	1973-12-17	5200	A
USGS	15485500	1973-12-18	5200	A
USGS	15485500	1973-12-19	5000	A
USGS	15485500	1973-12-20	5000	A
USGS	15485500	1973-12-21	5000	A
USGS	15485500	1973-12-22	5000	A
USGS	15485500	1973-12-23	4900	A
USGS	15485500	1973-12-24	4900	A
USGS	15485500	1973-12-25	4800	A
USGS	15485500	1973-12-26	4800	A
USGS	15485500	1973-12-27	4700	A
USGS	15485500	1973-12-28	4700	A
USGS	15485500	1973-12-29	4600	A
USGS	15485500	1973-12-30	4600	A
USGS	15485500	1973-12-31	4600	A
USGS	15485500	1974-01-01	4500	A
USGS	15485500	1974-01-02	4500	A
USGS	15485500	1974-01-03	4500	A
USGS	15485500	1974-01-04	4500	A
USGS	15485500	1974-01-05	4400	A
USGS	15485500	1974-01-06	4400	A
USGS	15485500	1974-01-07	4300	A
USGS	15485500	1974-01-08	4300	A
USGS	15485500	1974-01-09	4300	A
USGS	15485500	1974-01-10	4200	A
USGS	15485500	1974-01-11	4200	A
USGS	15485500	1974-01-12	4100	A
USGS	15485500	1974-01-13	4100	A
USGS	15485500	1974-01-14	4100	A
USGS	15485500	1974-01-15	4000	A
USGS	15485500	1974-01-16	4000	A
USGS	15485500	1974-01-17	4000	A
USGS	15485500	1974-01-18	3900	A
USGS	15485500	1974-01-19	3900	A
USGS	15485500	1974-01-20	3900	A
USGS	15485500	1974-01-21	3800	A
USGS	15485500	1974-01-22	3800	A
USGS	15485500	1974-01-23	3800	A
USGS	15485500	1974-01-24	3700	A
USGS	15485500	1974-01-25	3700	A
USGS	15485500	1974-01-26	3700	A
USGS	15485500	1974-01-27	3600	A
USGS	15485500	1974-01-28	3600	A
USGS	15485500	1974-01-29	3600	A
USGS	15485500	1974-01-30	3600	A
USGS	15485500	1974-01-31	3500	A
USGS	15485500	1974-02-01	3500	A
USGS	15485500	1974-02-02	3500	A
USGS	15485500	1974-02-03	3400	A
USGS	15485500	1974-02-04	3400	A
USGS	15485500	1974-02-05	3400	A
USGS	15485500	1974-02-06	3400	A
USGS	15485500	1974-02-07	3300	A
USGS	15485500	1974-02-08	3300	A
USGS	15485500	1974-02-09	3300	A
USGS	15485500	1974-02-10	3200	A
USGS	15485500	1974-02-11	3200	A
USGS	15485500	1974-02-12	3200	A
USGS	15485500	1974-02-13	3200	A
USGS	15485500	1974-02-14	3100	A
USGS	15485500	1974-02-15	3100	A
USGS	15485500	1974-02-16	3100	A
USGS	15485500	1974-02-17	3100	A
USGS	15485500	1974-02-18	3100	A
USGS	15485500	1974-02-19	3100	A
USGS	15485500	1974-02-20	3100	A
USGS	15485500	1974-02-21	3100	A
USGS	15485500	1974-02-22	3100	A
USGS	15485500	1974-02-23	3100	A
USGS	15485500	1974-02-24	3100	A
USGS	15485500	1974-02-25	3100	A
USGS	15485500	1974-02-26	3100	A
USGS	15485500	1974-02-27	3100	A
USGS	15485500	1974-02-28	3100	A
USGS	15485500	1974-03-01	3100	A
USGS	15485500	1974-03-02	3100	A
USGS	15485500	1974-03-03	3100	A
USGS	15485500	1974-03-04	3100	A
USGS	15485500	1974-03-05	3100	A
USGS	15485500	1974-03-06	3100	A
USGS	15485500	1974-03-07	3100	A
USGS	15485500	1974-03-08	3100	A
USGS	15485500	1974-03-09	3100	A
USGS	15485500	1974-03-10	3100	A
USGS	15485500	1974-03-11	3100	A
USGS	15485500	1974-03-12	3100	A
USGS	15485500	1974-03-13	3100	A
USGS	15485500	1974-03-14	3100	A
USGS	15485500	1974-03-15	3100	A
USGS	15485500	1974-03-16	3100	A
USGS	15485500	1974-03-17	3100	A
USGS	15485500	1974-03-18	3100	A
USGS	15485500	1974-03-19	3100	A
USGS	15485500	1974-03-20	3100	A
USGS	15485500	1974-03-21	3100	A
USGS	15485500	1974-03-22	3100	A
USGS	15485500	1974-03-23	3100	A
USGS	15485500	1974-03-24	3100	A
USGS	15485500	1974-03-25	3100	A
USGS	15485500	1974-03-26	3100	A
USGS	15485500	1974-03-27	3100	A
USGS	15485500	1974-03-28	3100	A
USGS	15485500	1974-03-29	3100	A
USGS	15485500	1974-03-30	3100	A
USGS	15485500	1974-03-31	3100	A
USGS	15485500	1974-04-01	3200	A
USGS	15485500	1974-04-02	3300	A
USGS	15485500	1974-04-03	3300	A
USGS	15485500	1974-04-04	3400	A
USGS	15485500	1974-04-05	3500	A
USGS	15485500	1974-04-06	3500	A
USGS	15485500	1974-04-07	3500	A
USGS	15485500	1974-04-08	3600	A
USGS	15485500	1974-04-09	3700	A
USGS	15485500	1974-04-10	3800	A
USGS	15485500	1974-04-11	3900	A
USGS	15485500	1974-04-12	3900	A
USGS	15485500	1974-04-13	4000	A
USGS	15485500	1974-04-14	4000	A
USGS	15485500	1974-04-15	4100	A
USGS	15485500	1974-04-16	4200	A
USGS	15485500	1974-04-17	4300	A
USGS	15485500	1974-04-18	4300	A
USGS	15485500	1974-04-19	4400	A
USGS	15485500	1974-04-20	4500	A
USGS	15485500	1974-04-21	4600	A
USGS	15485500	1974-04-22	4600	A
USGS	15485500	1974-04-23	4700	A
USGS	15485500	1974-04-24	4800	A
USGS	15485500	1974-04-25	5000	A
USGS	15485500	1974-04-26	5200	A
USGS	15485500	1974-04-27	5200	A
USGS	15485500	1974-04-28	5400	A
USGS	15485500	1974-04-29	5400	A
USGS	15485500	1974-04-30	5600	A
USGS	15485500	1974-05-01	6000	A
USGS	15485500	1974-05-02	6200	A
USGS	15485500	1974-05-03	6600	A
USGS	15485500	1974-05-04	7000	A
USGS	15485500	1974-05-05	7400	A
USGS	15485500	1974-05-06	8000	A
USGS	15485500	1974-05-07	8600	A
USGS	15485500	1974-05-08	9000	A
USGS	15485500	1974-05-09	10000	A
USGS	15485500	1974-05-10	11000	A
USGS	15485500	1974-05-11	11800	A
USGS	15485500	1974-05-12	13000	A
USGS	15485500	1974-05-13	14000	A
USGS	15485500	1974-05-14	15000	A
USGS	15485500	1974-05-15	16000	A
USGS	15485500	1974-05-16	17000	A
USGS	15485500	1974-05-17	19000	A
USGS	15485500	1974-05-18	20000	A
USGS	15485500	1974-05-19	21000	A
USGS	15485500	1974-05-20	23000	A
USGS	15485500	1974-05-21	25000	A
USGS	15485500	1974-05-22	27000	A
USGS	15485500	1974-05-23	28000	A
USGS	15485500	1974-05-24	30000	A
USGS	15485500	1974-05-25	31000	A
USGS	15485500	1974-05-26	31000	A
USGS	15485500	1974-05-27	30000	A
USGS	15485500	1974-05-28	29000	A
USGS	15485500	1974-05-29	28000	A
USGS	15485500	1974-05-30	28000	A
USGS	15485500	1974-05-31	29000	A
USGS	15485500	1974-06-01	30000	A
USGS	15485500	1974-06-02	31000	A
USGS	15485500	1974-06-03	30000	A
USGS	15485500	1974-06-04	29000	A
USGS	15485500	1974-06-05	28000	A
USGS	15485500	1974-06-06	26000	A
USGS	15485500	1974-06-07	25000	A
USGS	15485500	1974-06-08	24000	A
USGS	15485500	1974-06-09	23000	A
USGS	15485500	1974-06-10	22000	A
USGS	15485500	1974-06-11	21000	A
USGS	15485500	1974-06-12	20900	A
USGS	15485500	1974-06-13	21000	A
USGS	15485500	1974-06-14	20000	A
USGS	15485500	1974-06-15	20000	A
USGS	15485500	1974-06-16	21000	A
USGS	15485500	1974-06-17	22000	A
USGS	15485500	1974-06-18	22900	A
USGS	15485500	1974-06-19	23600	A
USGS	15485500	1974-06-20	25600	A
USGS	15485500	1974-06-21	26800	A
USGS	15485500	1974-06-22	26800	A
USGS	15485500	1974-06-23	30000	A
USGS	15485500	1974-06-24	33000	A
USGS	15485500	1974-06-25	34800	A
USGS	15485500	1974-06-26	36200	A
USGS	15485500	1974-06-27	37800	A
USGS	15485500	1974-06-28	37600	A
USGS	15485500	1974-06-29	38400	A
USGS	15485500	1974-06-30	39800	A
USGS	15485500	1974-07-01	44600	A
USGS	15485500	1974-07-02	44300	A
USGS	15485500	1974-07-03	40500	A
USGS	15485500	1974-07-04	38800	A
USGS	15485500	1974-07-05	40700	A
USGS	15485500	1974-07-06	42100	A
USGS	15485500	1974-07-07	42000	A
USGS	15485500	1974-07-08	41900	A
USGS	15485500	1974-07-09	42700	A
USGS	15485500	1974-07-10	42700	A
USGS	15485500	1974-07-11	41100	A
USGS	15485500	1974-07-12	40700	A
USGS	15485500	1974-07-13	41300	A
USGS	15485500	1974-07-14	43600	A
USGS	15485500	1974-07-15	46700	A
USGS	15485500	1974-07-16	49000	A
USGS	15485500	1974-07-17	49400	A
USGS	15485500	1974-07-18	48500	A
USGS	15485500	1974-07-19	48800	A
USGS	15485500	1974-07-20	52700	A
USGS	15485500	1974-07-21	52000	A
USGS	15485500	1974-07-22	49800	A
USGS	15485500	1974-07-23	44800	A
USGS	15485500	1974-07-24	45000	A
USGS	15485500	1974-07-25	46900	A
USGS	15485500	1974-07-26	46000	A
USGS	15485500	1974-07-27	45800	A
USGS	15485500	1974-07-28	47500	A
USGS	15485500	1974-07-29	47800	A
USGS	15485500	1974-07-30	47400	A
USGS	15485500	1974-07-31	50000	A
USGS	15485500	1974-08-01	50200	A
USGS	15485500	1974-08-02	49900	A
USGS	15485500	1974-08-03	50600	A
USGS	15485500	1974-08-04	52600	A
USGS	15485500	1974-08-05	55600	A
USGS	15485500	1974-08-06	56000	A
USGS	15485500	1974-08-07	52200	A
USGS	15485500	1974-08-08	50400	A
USGS	15485500	1974-08-09	52600	A
USGS	15485500	1974-08-10	51100	A
USGS	15485500	1974-08-11	47400	A
USGS	15485500	1974-08-12	45600	A
USGS	15485500	1974-08-13	44200	A
USGS	15485500	1974-08-14	44400	A
USGS	15485500	1974-08-15	45800	A
USGS	15485500	1974-08-16	46200	A
USGS	15485500	1974-08-17	46200	A
USGS	15485500	1974-08-18	47400	A
USGS	15485500	1974-08-19	50400	A
USGS	15485500	1974-08-20	52000	A
USGS	15485500	1974-08-21	51100	A
USGS	15485500	1974-08-22	46300	A
USGS	15485500	1974-08-23	39600	A
USGS	15485500	1974-08-24	35000	A
USGS	15485500	1974-08-25	31000	A
USGS	15485500	1974-08-26	28000	A
USGS	15485500	1974-08-27	25000	A
USGS	15485500	1974-08-28	23600	A
USGS	15485500	1974-08-29	37100	A
USGS	15485500	1974-08-30	56400	A
USGS	15485500	1974-08-31	57800	A
USGS	15485500	1974-09-01	54600	A
USGS	15485500	1974-09-02	51700	A
USGS	15485500	1974-09-03	50500	A
USGS	15485500	1974-09-04	48600	A
USGS	15485500	1974-09-05	43800	A
USGS	15485500	1974-09-06	38000	A
USGS	15485500	1974-09-07	34200	A
USGS	15485500	1974-09-08	32600	A
USGS	15485500	1974-09-09	30500	A
USGS	15485500	1974-09-10	27200	A
USGS	15485500	1974-09-11	24800	A
USGS	15485500	1974-09-12	23200	A
USGS	15485500	1974-09-13	22400	A
USGS	15485500	1974-09-14	21800	A
USGS	15485500	1974-09-15	21500	A
USGS	15485500	1974-09-16	21400	A
USGS	15485500	1974-09-17	21400	A
USGS	15485500	1974-09-18	20000	A
USGS	15485500	1974-09-19	19100	A
USGS	15485500	1974-09-20	19000	A
USGS	15485500	1974-09-21	19000	A
USGS	15485500	1974-09-22	20000	A
USGS	15485500	1974-09-23	20200	A
USGS	15485500	1974-09-24	20300	A
USGS	15485500	1974-09-25	20300	A
USGS	15485500	1974-09-26	20700	A
USGS	15485500	1974-09-27	20000	A
USGS	15485500	1974-09-28	19000	A
USGS	15485500	1974-09-29	17000	A
USGS	15485500	1974-09-30	15900	A
USGS	15485500	1974-10-01	16000	A
USGS	15485500	1974-10-02	16000	A
USGS	15485500	1974-10-03	16000	A
USGS	15485500	1974-10-04	16000	A
USGS	15485500	1974-10-05	16000	A
USGS	15485500	1974-10-06	14000	A
USGS	15485500	1974-10-07	14000	A
USGS	15485500	1974-10-08	14000	A
USGS	15485500	1974-10-09	14000	A
USGS	15485500	1974-10-10	14000	A
USGS	15485500	1974-10-11	13000	A
USGS	15485500	1974-10-12	13000	A
USGS	15485500	1974-10-13	13000	A
USGS	15485500	1974-10-14	13000	A
USGS	15485500	1974-10-15	13000	A
USGS	15485500	1974-10-16	12000	A
USGS	15485500	1974-10-17	12000	A
USGS	15485500	1974-10-18	12000	A
USGS	15485500	1974-10-19	12000	A
USGS	15485500	1974-10-20	12000	A
USGS	15485500	1974-10-21	11000	A
USGS	15485500	1974-10-22	11000	A
USGS	15485500	1974-10-23	11000	A
USGS	15485500	1974-10-24	11000	A
USGS	15485500	1974-10-25	11000	A
USGS	15485500	1974-10-26	10000	A
USGS	15485500	1974-10-27	10000	A
USGS	15485500	1974-10-28	10000	A
USGS	15485500	1974-10-29	10000	A
USGS	15485500	1974-10-30	10000	A
USGS	15485500	1974-10-31	10000	A
USGS	15485500	1974-11-01	9000	A
USGS	15485500	1974-11-02	9000	A
USGS	15485500	1974-11-03	9000	A
USGS	15485500	1974-11-04	9000	A
USGS	15485500	1974-11-05	9000	A
USGS	15485500	1974-11-06	9000	A
USGS	15485500	1974-11-07	9000	A
USGS	15485500	1974-11-08	9000	A
USGS	15485500	1974-11-09	9000	A
USGS	15485500	1974-11-10	9000	A
USGS	15485500	1974-11-11	8000	A
USGS	15485500	1974-11-12	8000	A
USGS	15485500	1974-11-13	8000	A
USGS	15485500	1974-11-14	8000	A
USGS	15485500	1974-11-15	8000	A
USGS	15485500	1974-11-16	8000	A
USGS	15485500	1974-11-17	8000	A
USGS	15485500	1974-11-18	8000	A
USGS	15485500	1974-11-19	8000	A
USGS	15485500	1974-11-20	8000	A
USGS	15485500	1974-11-21	7000	A
USGS	15485500	1974-11-22	7000	A
USGS	15485500	1974-11-23	7000	A
USGS	15485500	1974-11-24	7000	A
USGS	15485500	1974-11-25	7000	A
USGS	15485500	1974-11-26	7000	A
USGS	15485500	1974-11-27	7000	A
USGS	15485500	1974-11-28	7000	A
USGS	15485500	1974-11-29	7000	A
USGS	15485500	1974-11-30	7000	A
USGS	15485500	1974-12-01	6200	A
USGS	15485500	1974-12-02	6200	A
USGS	15485500	1974-12-03	6200	A
USGS	15485500	1974-12-04	6200	A
USGS	15485500	1974-12-05	6200	A
USGS	15485500	1974-12-06	6200	A
USGS	15485500	1974-12-07	6200	A
USGS	15485500	1974-12-08	6200	A
USGS	15485500	1974-12-09	6200	A
USGS	15485500	1974-12-10	6200	A
USGS	15485500	1974-12-11	6200	A
USGS	15485500	1974-12-12	6200	A
USGS	15485500	1974-12-13	6200	A
USGS	15485500	1974-12-14	6200	A
USGS	15485500	1974-12-15	6200	A
USGS	15485500	1974-12-16	6200	A
USGS	15485500	1974-12-17	6200	A
USGS	15485500	1974-12-18	6200	A
USGS	15485500	1974-12-19	6200	A
USGS	15485500	1974-12-20	6200	A
USGS	15485500	1974-12-21	6200	A
USGS	15485500	1974-12-22	6200	A
USGS	15485500	1974-12-23	6200	A
USGS	15485500	1974-12-24	6200	A
USGS	15485500	1974-12-25	6200	A
USGS	15485500	1974-12-26	6000	A
USGS	15485500	1974-12-27	6000	A
USGS	15485500	1974-12-28	6000	A
USGS	15485500	1974-12-29	6000	A
USGS	15485500	1974-12-30	6000	A
USGS	15485500	1974-12-31	6000	A
USGS	15485500	1975-01-01	6000	A
USGS	15485500	1975-01-02	6000	A
USGS	15485500	1975-01-03	6000	A
USGS	15485500	1975-01-04	6000	A
USGS	15485500	1975-01-05	6000	A
USGS	15485500	1975-01-06	6000	A
USGS	15485500	1975-01-07	6000	A
USGS	15485500	1975-01-08	6000	A
USGS	15485500	1975-01-09	6000	A
USGS	15485500	1975-01-10	6000	A
USGS	15485500	1975-01-11	6000	A
USGS	15485500	1975-01-12	6000	A
USGS	15485500	1975-01-13	6000	A
USGS	15485500	1975-01-14	6000	A
USGS	15485500	1975-01-15	6000	A
USGS	15485500	1975-01-16	6000	A
USGS	15485500	1975-01-17	6000	A
USGS	15485500	1975-01-18	6000	A
USGS	15485500	1975-01-19	6000	A
USGS	15485500	1975-01-20	6000	A
USGS	15485500	1975-01-21	6000	A
USGS	15485500	1975-01-22	6000	A
USGS	15485500	1975-01-23	6000	A
USGS	15485500	1975-01-24	6000	A
USGS	15485500	1975-01-25	6000	A
USGS	15485500	1975-01-26	6000	A
USGS	15485500	1975-01-27	6000	A
USGS	15485500	1975-01-28	6000	A
USGS	15485500	1975-01-29	6000	A
USGS	15485500	1975-01-30	6000	A
USGS	15485500	1975-01-31	6000	A
USGS	15485500	1975-02-01	5600	A
USGS	15485500	1975-02-02	5600	A
USGS	15485500	1975-02-03	5600	A
USGS	15485500	1975-02-04	5600	A
USGS	15485500	1975-02-05	5600	A
